Grupo,rule_text,n,treated,controls,aipw_ate
B2,heart_rate_max <= 98.6414 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= 0.00534376 AND mbp_mean <= 82.6413 AND spo2_last <= 102.375,272,73,199,-0.07667522057294768
B2,heart_rate_max <= 98.6414 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= -0.00934376 AND mbp_mean <= 74.7707 AND spo2_last <= 97.5,66,21,45,-0.2907398414568365
B2,heart_rate_max <= 98.6414 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= -0.00934376 AND mbp_mean <= 74.7707 AND spo2_last <= 102.375,136,43,93,-0.0022365818909948943
B2,heart_rate_max <= 98.6414 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= -0.00934376 AND mbp_mean <= 78.706 AND spo2_last <= 97.5,87,29,58,-0.34075890407169973
B2,heart_rate_max <= 98.6414 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= -0.00934376 AND mbp_mean <= 78.706 AND spo2_last <= 102.375,181,58,123,-0.07549176849499765
B2,heart_rate_max <= 98.6414 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= -0.00934376 AND mbp_mean <= 82.6413 AND spo2_last <= 97.5,96,33,63,-0.3904792336227032
B2,heart_rate_max <= 98.6414 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= -0.00934376 AND mbp_mean <= 82.6413 AND spo2_last <= 102.375,209,67,142,-0.07378834497505607
B2,heart_rate_max <= 98.6414 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= -0.002 AND mbp_mean <= 74.7707 AND spo2_last <= 97.5,76,22,54,-0.28011116297691385
B2,heart_rate_max <= 98.6414 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= -0.002 AND mbp_mean <= 74.7707 AND spo2_last <= 102.375,156,48,108,-0.13496753471991046
B2,heart_rate_max <= 98.6414 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= -0.002 AND mbp_mean <= 78.706 AND spo2_last <= 97.5,101,31,70,-0.3029603300978221
B2,heart_rate_max <= 98.6414 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= -0.002 AND mbp_mean <= 78.706 AND spo2_last <= 102.375,207,64,143,-0.15488132999023724
B2,heart_rate_max <= 98.6414 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= -0.002 AND mbp_mean <= 82.6413 AND spo2_last <= 97.5,110,35,75,-0.3494452283038332
B2,heart_rate_max <= 98.6414 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= -0.002 AND mbp_mean <= 82.6413 AND spo2_last <= 102.375,236,73,163,-0.1406265206556631
B2,heart_rate_max <= 98.6414 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= 0.00534376 AND mbp_mean <= 74.7707 AND spo2_last <= 97.5,98,24,74,-0.1763706811535444
B2,heart_rate_max <= 98.6414 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= 0.00534376 AND mbp_mean <= 74.7707 AND spo2_last <= 102.375,192,51,141,-0.03890222279217745
B2,heart_rate_max <= 98.6414 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= 0.00534376 AND mbp_mean <= 78.706 AND spo2_last <= 97.5,127,33,94,-0.20788062144059807
B2,heart_rate_max <= 98.6414 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= 0.00534376 AND mbp_mean <= 78.706 AND spo2_last <= 102.375,253,68,185,-0.060787876617633574
B2,heart_rate_max <= 98.6414 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= 0.00534376 AND mbp_mean <= 82.6413 AND spo2_last <= 97.5,137,37,100,-0.24382136587671124
B2,heart_rate_max <= 98.6414 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= 0.00534376 AND mbp_mean <= 82.6413 AND spo2_last <= 102.375,284,77,207,-0.0563610943470209
B2,heart_rate_max <= 103.833 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= -0.00934376 AND mbp_mean <= 74.7707 AND spo2_last <= 97.5,63,17,46,-0.28422017106117536
B2,heart_rate_max <= 103.833 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= -0.00934376 AND mbp_mean <= 74.7707 AND spo2_last <= 102.375,134,39,95,-0.05765552832853261
B2,heart_rate_max <= 103.833 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= -0.00934376 AND mbp_mean <= 78.706 AND spo2_last <= 97.5,91,26,65,-0.3244610860386819
B2,heart_rate_max <= 103.833 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= -0.00934376 AND mbp_mean <= 78.706 AND spo2_last <= 102.375,189,55,134,-0.11943935822602507
B2,heart_rate_max <= 103.833 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= -0.00934376 AND mbp_mean <= 82.6413 AND spo2_last <= 97.5,101,30,71,-0.3807364751083415
B2,heart_rate_max <= 103.833 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= -0.00934376 AND mbp_mean <= 82.6413 AND spo2_last <= 102.375,218,64,154,-0.12236994191784292
B2,heart_rate_max <= 103.833 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= -0.002 AND mbp_mean <= 74.7707 AND spo2_last <= 97.5,74,19,55,-0.3000010769875058
B2,heart_rate_max <= 103.833 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= -0.002 AND mbp_mean <= 74.7707 AND spo2_last <= 102.375,156,46,110,-0.1946906405397358
B2,heart_rate_max <= 103.833 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= -0.002 AND mbp_mean <= 78.706 AND spo2_last <= 97.5,106,30,76,-0.31194805363006306
B2,heart_rate_max <= 103.833 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= -0.002 AND mbp_mean <= 78.706 AND spo2_last <= 102.375,218,65,153,-0.2109964391871252
B2,heart_rate_max <= 103.833 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= -0.002 AND mbp_mean <= 82.6413 AND spo2_last <= 97.5,116,34,82,-0.3620251624242165
B2,heart_rate_max <= 103.833 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= -0.002 AND mbp_mean <= 82.6413 AND spo2_last <= 102.375,249,74,175,-0.20145057677921718
B2,heart_rate_max <= 103.833 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= 0.00534376 AND mbp_mean <= 74.7707 AND spo2_last <= 97.5,95,21,74,-0.20123658992103208
B2,heart_rate_max <= 103.833 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= 0.00534376 AND mbp_mean <= 74.7707 AND spo2_last <= 102.375,193,49,144,-0.08575270192258874
B2,heart_rate_max <= 103.833 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= 0.00534376 AND mbp_mean <= 78.706 AND spo2_last <= 97.5,131,32,99,-0.22740349043117045
B2,heart_rate_max <= 103.833 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= 0.00534376 AND mbp_mean <= 78.706 AND spo2_last <= 102.375,264,69,195,-0.11341054181521341
B2,heart_rate_max <= 103.833 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= 0.00534376 AND mbp_mean <= 82.6413 AND spo2_last <= 97.5,144,38,106,-0.2328126396856175
B2,heart_rate_max <= 103.833 AND heart_rate_delta <= 2.93986 AND hemoglobin_slope <= 0.00534376 AND mbp_mean <= 82.6413 AND spo2_last <= 102.375,299,80,219,-0.09781999545550057
B2,heart_rate_max <= 103.833 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= -0.00934376 AND mbp_mean <= 74.7707 AND spo2_last <= 97.5,73,22,51,-0.3431030512210243
B2,heart_rate_max <= 103.833 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= -0.00934376 AND mbp_mean <= 74.7707 AND spo2_last <= 102.375,147,44,103,-0.07363964329544642
B2,heart_rate_max <= 103.833 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= -0.00934376 AND mbp_mean <= 78.706 AND spo2_last <= 97.5,101,31,70,-0.3630357504138691
B2,heart_rate_max <= 103.833 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= -0.00934376 AND mbp_mean <= 78.706 AND spo2_last <= 102.375,202,60,142,-0.12709517560953468
B2,heart_rate_max <= 103.833 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= -0.00934376 AND mbp_mean <= 82.6413 AND spo2_last <= 97.5,113,36,77,-0.40408649654857304
B2,heart_rate_max <= 103.833 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= -0.00934376 AND mbp_mean <= 82.6413 AND spo2_last <= 102.375,234,71,163,-0.1277564090428067
B2,heart_rate_max <= 103.833 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= -0.002 AND mbp_mean <= 74.7707 AND spo2_last <= 97.5,84,24,60,-0.34929442451614456
B2,heart_rate_max <= 103.833 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= -0.002 AND mbp_mean <= 74.7707 AND spo2_last <= 102.375,169,51,118,-0.19805282066630797
B2,heart_rate_max <= 103.833 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= -0.002 AND mbp_mean <= 78.706 AND spo2_last <= 97.5,117,35,82,-0.34689080504804043
B2,heart_rate_max <= 103.833 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= -0.002 AND mbp_mean <= 78.706 AND spo2_last <= 102.375,232,70,162,-0.21325641833945638
B2,heart_rate_max <= 103.833 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= -0.002 AND mbp_mean <= 82.6413 AND spo2_last <= 97.5,129,40,89,-0.38435184115355586
B2,heart_rate_max <= 103.833 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= -0.002 AND mbp_mean <= 82.6413 AND spo2_last <= 102.375,266,81,185,-0.2021000922537798
B2,heart_rate_max <= 103.833 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= 0.00534376 AND mbp_mean <= 74.7707 AND spo2_last <= 97.5,105,26,79,-0.25007740956932156
B2,heart_rate_max <= 103.833 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= 0.00534376 AND mbp_mean <= 74.7707 AND spo2_last <= 102.375,207,54,153,-0.09757689588124518
B2,heart_rate_max <= 103.833 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= 0.00534376 AND mbp_mean <= 78.706 AND spo2_last <= 97.5,142,37,105,-0.2627435757205449
B2,heart_rate_max <= 103.833 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= 0.00534376 AND mbp_mean <= 78.706 AND spo2_last <= 102.375,280,74,206,-0.11824137830734201
B2,heart_rate_max <= 103.833 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= 0.00534376 AND mbp_mean <= 82.6413 AND spo2_last <= 97.5,157,44,113,-0.2618566164479523
B2,heart_rate_max <= 103.833 AND heart_rate_delta <= 3.905 AND hemoglobin_slope <= 0.00534376 AND mbp_mean <= 82.6413 AND spo2_last <= 102.375,318,87,231,-0.10230989665897437
B2,heart_rate_max <= 103.833 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= -0.00934376 AND mbp_mean <= 74.7707 AND spo2_last <= 97.5,79,23,56,-0.28759928844655186
B2,heart_rate_max <= 103.833 AND heart_rate_delta <= 4.87014 AND hemoglobin_slope <= -0.00934376 AND mbp_mean <= 74.7707 AND spo2_last <= 102.375,156,46,110,-0.04835978608073338
