covariate,smd_pre,abs_smd_pre,smd_post,abs_smd_post
creatinine_pre_mean,0.1567333555471014,0.1567333555471014,0.0545402139776625,0.0545402139776625
creatinine_slope,0.0677138741373883,0.0677138741373883,-0.0167620176493169,0.0167620176493169
creatinine_std,0.0486196022509685,0.0486196022509685,-0.0406896810446977,0.0406896810446977
dbp_delta,-0.2585571226644932,0.2585571226644932,-0.0760560859439322,0.0760560859439322
dbp_max,-0.2224766920214061,0.2224766920214061,-0.0093311012086235,0.0093311012086235
dbp_mean,-0.2109964779137192,0.2109964779137192,-0.0327408512349547,0.0327408512349547
dbp_median,-0.1531765736392399,0.1531765736392399,-0.0077753847604068,0.0077753847604068
dbp_min,-0.2273679301499573,0.2273679301499573,-0.0790272403788205,0.0790272403788205
dbp_post_mean,-0.4905696814875164,0.4905696814875164,-0.117214051059108,0.117214051059108
dbp_pre_mean,-0.2109964779137192,0.2109964779137192,-0.0327408512349547,0.0327408512349547
dbp_slope,-0.1961354069496611,0.1961354069496611,-0.1046623153886724,0.1046623153886724
dbp_std,-0.237803389879747,0.237803389879747,-0.144428609323044,0.144428609323044
diabetes_with_cc_max,0.0551549639861391,0.0551549639861391,0.0120388884062915,0.0120388884062915
diabetes_with_cc_mean,0.0551549639861391,0.0551549639861391,0.0120388884062915,0.0120388884062915
diabetes_with_cc_median,0.0551549639861391,0.0551549639861391,0.0120388884062915,0.0120388884062915
diabetes_with_cc_min,0.0551549639861391,0.0551549639861391,0.0120388884062915,0.0120388884062915
diabetes_with_cc_std,0.0,0.0,0.0,0.0
diabetes_without_cc_max,-0.0016672003296438,0.0016672003296438,-0.0108261912256634,0.0108261912256634
diabetes_without_cc_mean,-0.0016672003296438,0.0016672003296438,-0.0108261912256634,0.0108261912256634
diabetes_without_cc_median,-0.0016672003296438,0.0016672003296438,-0.0108261912256634,0.0108261912256634
diabetes_without_cc_min,-0.0016672003296438,0.0016672003296438,-0.0108261912256634,0.0108261912256634
diabetes_without_cc_std,0.0,0.0,0.0,0.0
epinephrine_rate_mcgkgmin_max,0.1001055177147201,0.1001055177147201,0.0470316208646382,0.0470316208646382
epinephrine_rate_mcgkgmin_mean,0.0822652868250563,0.0822652868250563,0.008464645431392,0.008464645431392
epinephrine_rate_mcgkgmin_median,0.0350436257253755,0.0350436257253755,0.0142108157849805,0.0142108157849805
epinephrine_rate_mcgkgmin_min,0.0193919023717908,0.0193919023717908,0.0141364821613328,0.0141364821613328
epinephrine_rate_mcgkgmin_std,0.1006393870434711,0.1006393870434711,0.0254393826248452,0.0254393826248452
hba1c_max,0.0,0.0,0.0,0.0
hba1c_mean,0.0,0.0,0.0,0.0
hba1c_median,0.0,0.0,0.0,0.0
hba1c_min,0.0,0.0,0.0,0.0
hba1c_std,0.0,0.0,0.0,0.0
hba2_max,0.0,0.0,0.0,0.0
hba2_mean,0.0,0.0,0.0,0.0
hba2_median,0.0,0.0,0.0,0.0
hba2_min,0.0,0.0,0.0,0.0
hba2_std,0.0,0.0,0.0,0.0
hbs_max,0.0,0.0,0.0,0.0
hbs_mean,0.0,0.0,0.0,0.0
hbs_median,0.0,0.0,0.0,0.0
hbs_min,0.0,0.0,0.0,0.0
hbs_std,0.0,0.0,0.0,0.0
heart_rate_delta,0.1463393357413546,0.1463393357413546,0.006800490372934,0.006800490372934
heart_rate_max,0.1621317039122431,0.1621317039122431,0.1340343290731797,0.1340343290731797
heart_rate_mean,0.0628304496837465,0.0628304496837465,0.0371373946206854,0.0371373946206854
heart_rate_median,0.0435467359226777,0.0435467359226777,0.0204788896131528,0.0204788896131528
heart_rate_min,0.2279877055950399,0.2279877055950399,0.0856006997038674,0.0856006997038674
heart_rate_post_mean,0.1926240971875372,0.1926240971875372,0.0465993618185363,0.0465993618185363
heart_rate_pre_mean,0.0628304496837465,0.0628304496837465,0.0371373946206854,0.0371373946206854
heart_rate_slope,0.2187856952974495,0.2187856952974495,0.1567458812018075,0.1567458812018075
heart_rate_std,-0.0109693207353557,0.0109693207353557,0.0377212650175754,0.0377212650175754
hematocrit_max,0.0,0.0,0.0,0.0
hematocrit_mean,0.0,0.0,0.0,0.0
hematocrit_median,0.0,0.0,0.0,0.0
hematocrit_min,0.0,0.0,0.0,0.0
hematocrit_std,0.0,0.0,0.0,0.0
hemoglobin_delta,-0.1328365716290384,0.1328365716290384,0.1343458885058119,0.1343458885058119
hemoglobin_max,-0.5969503219665424,0.5969503219665424,-0.5005682325431212,0.5005682325431212
hemoglobin_mean,-1.005114254850057,1.005114254850057,-0.3872234436650079,0.3872234436650079
hemoglobin_median,-0.7837225119042874,0.7837225119042874,-0.2591835821478734,0.2591835821478734
hemoglobin_min,-1.1671968503206451,1.1671968503206451,-0.4334277081608729,0.4334277081608729
hemoglobin_post_mean,-1.3263163273975511,1.3263163273975511,-0.3750410398594328,0.3750410398594328
hemoglobin_pre_mean,-1.005114254850057,1.005114254850057,-0.3872234436650079,0.3872234436650079
hemoglobin_slope,-0.3831684215218799,0.3831684215218799,-0.3107017713994441,0.3107017713994441
hemoglobin_std,0.6653859156619762,0.6653859156619762,0.082647193671744,0.082647193671744
lactate_delta,0.0184873575020507,0.0184873575020507,-0.0045657278168496,0.0045657278168496
lactate_max,0.4203948197637313,0.4203948197637313,0.1836140382657906,0.1836140382657906
lactate_mean,0.294211914624039,0.294211914624039,0.1108855781492611,0.1108855781492611
lactate_median,0.2236981681596867,0.2236981681596867,0.0759793974785853,0.0759793974785853
lactate_min,0.095107553597203,0.095107553597203,0.0969997260371225,0.0969997260371225
lactate_post_mean,0.2854245318127746,0.2854245318127746,0.1015767750398577,0.1015767750398577
lactate_pre_mean,0.294211914624039,0.294211914624039,0.1108855781492611,0.1108855781492611
lactate_slope,0.1880182019102866,0.1880182019102866,0.2337707922460085,0.2337707922460085
lactate_std,0.3838936218992247,0.3838936218992247,0.1647798209464763,0.1647798209464763
malignant_cancer_max,0.1108032954157058,0.1108032954157058,-0.0021744785120192,0.0021744785120192
malignant_cancer_mean,0.1108032954157058,0.1108032954157058,-0.0021744785120192,0.0021744785120192
malignant_cancer_median,0.1108032954157058,0.1108032954157058,-0.0021744785120192,0.0021744785120192
malignant_cancer_min,0.1108032954157058,0.1108032954157058,-0.0021744785120192,0.0021744785120192
malignant_cancer_std,0.0,0.0,0.0,0.0
mbp_max,-0.0946606766335289,0.0946606766335289,0.0413401520229158,0.0413401520229158
mbp_mean,-0.1789276694603757,0.1789276694603757,-0.0136881237949674,0.0136881237949674
mbp_median,-0.1465139050353842,0.1465139050353842,-0.0106554189916547,0.0106554189916547
mbp_min,-0.2039028096269726,0.2039028096269726,-0.0771238720505308,0.0771238720505308
mbp_std,-0.1823146203114723,0.1823146203114723,-0.0866749526406513,0.0866749526406513
methemoglobin_delta,0.0,0.0,0.0,0.0
methemoglobin_max,0.0,0.0,0.0,0.0
methemoglobin_mean,0.0,0.0,0.0,0.0
methemoglobin_median,0.0,0.0,0.0,0.0
methemoglobin_min,0.0,0.0,0.0,0.0
methemoglobin_post_mean,0.0,0.0,0.0,0.0
methemoglobin_pre_mean,0.0,0.0,0.0,0.0
methemoglobin_slope,0.0,0.0,0.0,0.0
methemoglobin_std,0.0,0.0,0.0,0.0
mild_liver_disease_max,0.2374738247192128,0.2374738247192128,0.0922419541657469,0.0922419541657469
mild_liver_disease_mean,0.2374738247192128,0.2374738247192128,0.0922419541657469,0.0922419541657469
mild_liver_disease_median,0.2374738247192128,0.2374738247192128,0.0922419541657469,0.0922419541657469
mild_liver_disease_min,0.2374738247192128,0.2374738247192128,0.0922419541657469,0.0922419541657469
mild_liver_disease_std,0.0,0.0,0.0,0.0
norepinephrine_rate_mcgkgmin_max,0.1064905420760312,0.1064905420760312,0.1404253323617503,0.1404253323617503
norepinephrine_rate_mcgkgmin_mean,0.0496630272489046,0.0496630272489046,0.0136593454922718,0.0136593454922718
norepinephrine_rate_mcgkgmin_median,0.0255480990737373,0.0255480990737373,0.0021170912379118,0.0021170912379118
norepinephrine_rate_mcgkgmin_min,0.0209616667699705,0.0209616667699705,0.0087104475908294,0.0087104475908294
norepinephrine_rate_mcgkgmin_std,0.101103003898462,0.101103003898462,0.0744144251336941,0.0744144251336941
platelets_delta,-0.3718793938480637,0.3718793938480637,-0.139210362228244,0.139210362228244
platelets_max,-0.0423024443151577,0.0423024443151577,-0.0572587968033378,0.0572587968033378
platelets_mean,-0.2092010573730555,0.2092010573730555,-0.0702375573122164,0.0702375573122164
platelets_median,-0.1604074570568546,0.1604074570568546,-0.0405718537867131,0.0405718537867131
platelets_min,-0.4204313815195099,0.4204313815195099,-0.1451298640160906,0.1451298640160906
platelets_post_mean,-0.3923269072025335,0.3923269072025335,-0.1422308705825943,0.1422308705825943
platelets_pre_mean,-0.2092010573730555,0.2092010573730555,-0.0702375573122164,0.0702375573122164
platelets_slope,-0.2069007609349959,0.2069007609349959,-0.1657436344136985,0.1657436344136985
platelets_std,0.2812353583613128,0.2812353583613128,0.0531296790252558,0.0531296790252558
renal_disease_max,0.1786235714993244,0.1786235714993244,0.0148899484324153,0.0148899484324153
renal_disease_mean,0.1786235714993244,0.1786235714993244,0.0148899484324153,0.0148899484324153
renal_disease_median,0.1786235714993244,0.1786235714993244,0.0148899484324153,0.0148899484324153
renal_disease_min,0.1786235714993244,0.1786235714993244,0.0148899484324153,0.0148899484324153
renal_disease_std,0.0,0.0,0.0,0.0
resp_rate_delta,0.0701849262012651,0.0701849262012651,-0.0226106988483173,0.0226106988483173
resp_rate_max,0.0277685366892416,0.0277685366892416,0.1321491344188284,0.1321491344188284
resp_rate_mean,-0.0688535572676156,0.0688535572676156,0.0646109016356404,0.0646109016356404
resp_rate_median,-0.0498882792904567,0.0498882792904567,0.0721440080473058,0.0721440080473058
resp_rate_min,-0.1166145954512888,0.1166145954512888,-0.0510245732486088,0.0510245732486088
