level,group,k,cluster,outcome,n_pairs,n_treated,n_control,treated_mean,control_mean,effect,ci95_low,ci95_high
cluster,harm_apparent,5.0,0.0,vm_time_hours,1171,1171,830,61.767235980643335,57.902903501280946,3.8643324793623677,-2.2843257187588955,9.901798320523763
cluster,harm_apparent,5.0,0.0,ventilation_hours,1813,1813,1259,31.856223570509282,31.630492737635592,0.22573083287369003,-3.446025234418091,4.103948336091193
cluster,harm_apparent,5.0,0.0,rrt_on,1813,1813,1259,0.06508549365692223,0.06287920573634859,0.002206287920573635,-0.013789299503585218,0.018753447324875896
cluster,harm_apparent,5.0,0.0,any_vasopressor,1813,1813,1259,0.2548262548262548,0.5079977937120794,-0.2531715388858246,-0.28188086045228905,-0.22364864864864867
cluster,harm_apparent,5.0,0.0,nee_mcgkgmin_max,1813,1813,1259,0.08162713734142306,0.14767788196359624,-0.0660507446221732,-0.08895945945945946,-0.04400661886376173
cluster,harm_apparent,5.0,0.0,icu_los_hours,1813,1813,1259,416.2568946497518,408.88950174664456,7.3673929031071985,-23.343755745541454,34.871943371943345
cluster,benefit_apparent,5.0,1.0,mortality_anytime,2242,2242,421,0.467885816235504,0.5218554861730598,-0.05396966993755575,-0.08411016949152542,-0.022491079393398783
cluster,benefit_apparent,5.0,1.0,vm_time_hours,2047,2047,365,213.30436411007977,65.25428269011562,148.0500814199642,137.93279982901808,158.81895843510827
cluster,benefit_apparent,5.0,1.0,ventilation_hours,2242,2242,421,123.46297948260482,36.716845078798684,86.74613440380611,80.27826159678858,93.88884645405888
cluster,benefit_apparent,5.0,1.0,rrt_on,2242,2242,421,0.17707404103479035,0.06735057983942908,0.10972346119536129,0.09254014272970562,0.12756467439785907
cluster,benefit_apparent,5.0,1.0,any_vasopressor,2242,2242,421,0.7051739518287243,0.6949152542372882,0.010258697591436218,-0.015611061552185548,0.038592774308652975
cluster,benefit_apparent,5.0,1.0,nee_mcgkgmin_max,2242,2242,421,0.42354594112399646,0.26792595896520965,0.1556199821587868,0.08568833630686885,0.2356730597680642
cluster,benefit_apparent,5.0,1.0,icu_los_hours,2242,2242,421,1374.157931906036,456.61165625929226,917.546275646744,865.587812221231,972.2446058206957
cluster,neutral_apparent,5.0,2.0,mortality_anytime,1886,1886,1077,0.3886532343584305,0.3992576882290562,-0.010604453870625663,-0.041357370095440084,0.02042682926829267
cluster,neutral_apparent,5.0,2.0,vm_time_hours,1519,1519,858,96.63199473337723,53.40490454246215,43.22709019091507,36.46323266403335,50.681789554531484
cluster,neutral_apparent,5.0,2.0,ventilation_hours,1886,1886,1077,52.75574407917992,28.875265111346767,23.880478967833152,19.50011709084482,28.45828362495581
cluster,neutral_apparent,5.0,2.0,rrt_on,1886,1886,1077,0.10180275715800637,0.06521739130434782,0.036585365853658534,0.019870095440084837,0.05410922587486742
cluster,neutral_apparent,5.0,2.0,any_vasopressor,1886,1886,1077,0.5965005302226936,0.5440084835630965,0.05249204665959703,0.020121951219512196,0.083271474019088
cluster,neutral_apparent,5.0,2.0,nee_mcgkgmin_max,1886,1886,1077,0.25904029692470837,0.1752014846235419,0.08383881230116647,0.0017864528101802825,0.17955090137857901
cluster,neutral_apparent,5.0,2.0,icu_los_hours,1886,1886,1077,633.3616118769884,396.12318840579707,237.23842347119123,198.84656680805938,273.86146275185575
cluster,benefit_apparent,5.0,3.0,mortality_anytime,121,121,110,0.35537190082644626,0.47107438016528924,-0.11570247933884298,-0.23574380165289255,-0.008264462809917356
cluster,benefit_apparent,5.0,3.0,vm_time_hours,96,96,86,57.668923611111104,49.89895833333333,7.769965277777776,-10.451080729166668,28.719700520833324
cluster,benefit_apparent,5.0,3.0,ventilation_hours,121,121,110,30.5530303030303,30.424242424242422,0.12878787878788034,-11.85254820936639,12.50437327823691
cluster,benefit_apparent,5.0,3.0,rrt_on,121,121,110,0.06611570247933884,0.06611570247933884,0.0,-0.05785123966942149,0.062190082644627914
cluster,benefit_apparent,5.0,3.0,any_vasopressor,121,121,110,0.4132231404958678,0.5867768595041323,-0.17355371900826447,-0.3183884297520661,-0.040909090909091284
cluster,benefit_apparent,5.0,3.0,nee_mcgkgmin_max,121,121,110,0.11760330578512397,0.1587603305785124,-0.04115702479338843,-0.12019421487603307,0.027632231404958577
cluster,benefit_apparent,5.0,3.0,icu_los_hours,121,121,110,430.27892561983464,385.1308539944904,45.148071625344365,-58.64032369146006,151.67475895316804
cluster,benefit_apparent,5.0,4.0,mortality_anytime,3947,3947,1733,0.3012414492019255,0.4489485685330631,-0.14770711933113756,-0.1687484165188751,-0.12718520395236887
cluster,benefit_apparent,5.0,4.0,vm_time_hours,3401,3401,1412,86.95964422228757,59.00549348230912,27.954150739978438,23.55935362148388,32.72436771047731
cluster,benefit_apparent,5.0,4.0,ventilation_hours,3947,3947,1733,52.09838696056076,33.27461785322186,18.823769107338904,15.84758571911156,22.11845283337556
