feature,stat,value,cluster,k,n_transfused,n_control
crp_mean,missing_rate,0.9838178568068492,0,2,10629,3155
crp_median,mean,111.60523255813952,0,2,10629,3155
crp_median,median,103.25,0,2,10629,3155
crp_median,missing_rate,0.9838178568068492,0,2,10629,3155
crp_min,mean,109.22441860465115,0,2,10629,3155
crp_min,median,103.25,0,2,10629,3155
crp_min,missing_rate,0.9838178568068492,0,2,10629,3155
crp_std,mean,2.2343011331703497,0,2,10629,3155
crp_std,median,0.0,0,2,10629,3155
crp_std,missing_rate,0.9838178568068492,0,2,10629,3155
d_dimer_max,mean,,0,2,10629,3155
d_dimer_max,median,,0,2,10629,3155
d_dimer_max,missing_rate,1.0,0,2,10629,3155
d_dimer_mean,mean,,0,2,10629,3155
d_dimer_mean,median,,0,2,10629,3155
d_dimer_mean,missing_rate,1.0,0,2,10629,3155
d_dimer_median,mean,,0,2,10629,3155
d_dimer_median,median,,0,2,10629,3155
d_dimer_median,missing_rate,1.0,0,2,10629,3155
d_dimer_min,mean,,0,2,10629,3155
d_dimer_min,median,,0,2,10629,3155
d_dimer_min,missing_rate,1.0,0,2,10629,3155
d_dimer_std,mean,,0,2,10629,3155
d_dimer_std,median,,0,2,10629,3155
d_dimer_std,missing_rate,1.0,0,2,10629,3155
dbp_delta,mean,-5.760790444179552,0,2,10629,3155
dbp_delta,median,-3.9628318584070783,0,2,10629,3155
dbp_delta,missing_rate,0.0,0,2,10629,3155
dbp_max,mean,83.95609464672124,0,2,10629,3155
dbp_max,median,80.0,0,2,10629,3155
dbp_max,missing_rate,0.0,0,2,10629,3155
dbp_mean,mean,65.31004460956672,0,2,10629,3155
dbp_mean,median,64.93067590987869,0,2,10629,3155
dbp_mean,missing_rate,0.0,0,2,10629,3155
dbp_median,mean,64.89887665819928,0,2,10629,3155
dbp_median,median,64.0,0,2,10629,3155
dbp_median,missing_rate,0.0,0,2,10629,3155
dbp_min,mean,50.324066233888416,0,2,10629,3155
dbp_min,median,47.0,0,2,10629,3155
dbp_min,missing_rate,0.0,0,2,10629,3155
dbp_post_mean,mean,59.549254165387175,0,2,10629,3155
dbp_post_mean,median,58.577989601386484,0,2,10629,3155
dbp_post_mean,missing_rate,0.0,0,2,10629,3155
dbp_pre_mean,mean,65.31004460956672,0,2,10629,3155
dbp_pre_mean,median,64.93067590987869,0,2,10629,3155
dbp_pre_mean,missing_rate,0.0,0,2,10629,3155
dbp_slope,mean,-0.07917494574753849,0,2,10629,3155
dbp_slope,median,-0.009785916408694875,0,2,10629,3155
dbp_slope,missing_rate,0.012889265217800358,0,2,10629,3155
dbp_std,mean,8.527605984442468,0,2,10629,3155
dbp_std,median,8.488574721805758,0,2,10629,3155
dbp_std,missing_rate,0.0,0,2,10629,3155
dementia_max,mean,0.02342647473892182,0,2,10629,3155
dementia_max,median,0.0,0,2,10629,3155
dementia_max,missing_rate,0.0,0,2,10629,3155
dementia_mean,mean,0.02342647473892182,0,2,10629,3155
dementia_mean,median,0.0,0,2,10629,3155
dementia_mean,missing_rate,0.0,0,2,10629,3155
dementia_median,mean,0.02342647473892182,0,2,10629,3155
dementia_median,median,0.0,0,2,10629,3155
dementia_median,missing_rate,0.0,0,2,10629,3155
dementia_min,mean,0.02342647473892182,0,2,10629,3155
dementia_min,median,0.0,0,2,10629,3155
dementia_min,missing_rate,0.0,0,2,10629,3155
dementia_std,mean,0.0,0,2,10629,3155
dementia_std,median,0.0,0,2,10629,3155
dementia_std,missing_rate,0.0,0,2,10629,3155
diabetes_with_cc_max,mean,0.09502305014582746,0,2,10629,3155
diabetes_with_cc_max,median,0.0,0,2,10629,3155
diabetes_with_cc_max,missing_rate,0.0,0,2,10629,3155
diabetes_with_cc_mean,mean,0.09502305014582746,0,2,10629,3155
diabetes_with_cc_mean,median,0.0,0,2,10629,3155
diabetes_with_cc_mean,missing_rate,0.0,0,2,10629,3155
diabetes_with_cc_median,mean,0.09502305014582746,0,2,10629,3155
diabetes_with_cc_median,median,0.0,0,2,10629,3155
diabetes_with_cc_median,missing_rate,0.0,0,2,10629,3155
diabetes_with_cc_min,mean,0.09502305014582746,0,2,10629,3155
diabetes_with_cc_min,median,0.0,0,2,10629,3155
diabetes_with_cc_min,missing_rate,0.0,0,2,10629,3155
diabetes_with_cc_std,mean,0.0,0,2,10629,3155
diabetes_with_cc_std,median,0.0,0,2,10629,3155
diabetes_with_cc_std,missing_rate,0.0,0,2,10629,3155
diabetes_without_cc_max,mean,0.2258914291090413,0,2,10629,3155
diabetes_without_cc_max,median,0.0,0,2,10629,3155
diabetes_without_cc_max,missing_rate,0.0,0,2,10629,3155
diabetes_without_cc_mean,mean,0.2258914291090413,0,2,10629,3155
diabetes_without_cc_mean,median,0.0,0,2,10629,3155
diabetes_without_cc_mean,missing_rate,0.0,0,2,10629,3155
diabetes_without_cc_median,mean,0.2258914291090413,0,2,10629,3155
diabetes_without_cc_median,median,0.0,0,2,10629,3155
diabetes_without_cc_median,missing_rate,0.0,0,2,10629,3155
diabetes_without_cc_min,mean,0.2258914291090413,0,2,10629,3155
diabetes_without_cc_min,median,0.0,0,2,10629,3155
diabetes_without_cc_min,missing_rate,0.0,0,2,10629,3155
diabetes_without_cc_std,mean,0.0,0,2,10629,3155
diabetes_without_cc_std,median,0.0,0,2,10629,3155
diabetes_without_cc_std,missing_rate,0.0,0,2,10629,3155
dobutamine_rate_mcgkgmin_max,mean,0.054382350174052116,0,2,10629,3155
dobutamine_rate_mcgkgmin_max,median,0.0,0,2,10629,3155
dobutamine_rate_mcgkgmin_max,missing_rate,0.0,0,2,10629,3155
dobutamine_rate_mcgkgmin_mean,mean,0.006083360128858405,0,2,10629,3155
dobutamine_rate_mcgkgmin_mean,median,0.0,0,2,10629,3155
dobutamine_rate_mcgkgmin_mean,missing_rate,0.0,0,2,10629,3155
dobutamine_rate_mcgkgmin_median,mean,0.0010828864427509643,0,2,10629,3155
dobutamine_rate_mcgkgmin_median,median,0.0,0,2,10629,3155
dobutamine_rate_mcgkgmin_median,missing_rate,0.0,0,2,10629,3155
dobutamine_rate_mcgkgmin_min,mean,0.0,0,2,10629,3155
dobutamine_rate_mcgkgmin_min,median,0.0,0,2,10629,3155
dobutamine_rate_mcgkgmin_min,missing_rate,0.0,0,2,10629,3155
dobutamine_rate_mcgkgmin_std,mean,0.011655885543601557,0,2,10629,3155
dobutamine_rate_mcgkgmin_std,median,0.0,0,2,10629,3155
dobutamine_rate_mcgkgmin_std,missing_rate,0.0,0,2,10629,3155
dopamine_rate_mcgkgmin_max,mean,0.0,0,2,10629,3155
dopamine_rate_mcgkgmin_max,median,0.0,0,2,10629,3155
dopamine_rate_mcgkgmin_max,missing_rate,0.0,0,2,10629,3155
dopamine_rate_mcgkgmin_mean,mean,0.0,0,2,10629,3155
dopamine_rate_mcgkgmin_mean,median,0.0,0,2,10629,3155
dopamine_rate_mcgkgmin_mean,missing_rate,0.0,0,2,10629,3155
dopamine_rate_mcgkgmin_median,mean,0.0,0,2,10629,3155
dopamine_rate_mcgkgmin_median,median,0.0,0,2,10629,3155
dopamine_rate_mcgkgmin_median,missing_rate,0.0,0,2,10629,3155
dopamine_rate_mcgkgmin_min,mean,0.0,0,2,10629,3155
dopamine_rate_mcgkgmin_min,median,0.0,0,2,10629,3155
dopamine_rate_mcgkgmin_min,missing_rate,0.0,0,2,10629,3155
dopamine_rate_mcgkgmin_std,mean,0.0,0,2,10629,3155
dopamine_rate_mcgkgmin_std,median,0.0,0,2,10629,3155
