group_id,feature,smd_unweighted,smd_overlap,smd_iptw
M1,resp_rate_min,-0.46952109459598673,-0.234040629552411,-0.2743605471521853
M1,resp_rate_max,0.06935407798238717,0.0950315658060605,0.23453258599139898
M1,resp_rate_std,0.11148638001435417,0.09873800510269973,0.18715428846518645
M1,resp_rate_first,-0.18320914876297845,0.04789294159804488,-0.05191020446958034
M1,resp_rate_last,-0.12060313503014905,-0.002635827861065821,0.05508597432451934
M1,resp_rate_delta,0.008074359845531972,-0.03317151526366267,0.0834404814391942
M1,resp_rate_slope,-0.18598440560508417,-0.09208181265948451,-0.09313357728764504
M1,spo2_mean,0.0864066579782583,-0.05948913363654113,0.03563558250358316
M1,spo2_median,0.13353441288291304,-0.006486097102479409,0.08453834387649989
M1,spo2_min,-0.14948180066402866,-0.14514038571459165,-0.1360868625931094
M1,spo2_max,0.2711665815692221,0.05233973117477256,0.1800326300016443
M1,spo2_std,0.14800668371512324,0.16394062511418472,0.17246681345356826
M1,spo2_first,0.06133402681849928,-0.08854514355077411,-0.022860141840424213
M1,spo2_last,0.12537361423515989,0.01202818954033142,0.04754844373009307
M1,spo2_delta,0.07915676387559983,0.07063187997626262,0.06080943632850145
M1,spo2_slope,0.022592667657139017,-0.010687224120181355,-0.013076712193584935
M1,sofa_mean,-0.02390414636530185,-0.05870446782547276,0.06507087606640423
M1,sofa_median,-0.025037893016553014,-0.1010733528450383,-0.011351294943495923
M1,sofa_min,-0.18395877863163465,0.009498616349335872,0.1065419764648217
M1,sofa_max,0.046091991511636066,-0.01973858262164319,0.16284165652678192
M1,sofa_std,0.1998244393346768,-0.00023310112101547722,0.14465469405993775
M1,sofa_first,-0.18218525957503284,0.0026042834982838185,0.12912681782781907
M1,sofa_last,0.032296833041065384,-0.022282358796170392,0.11158437834426044
M1,sofa_delta,0.21697223331373489,-0.026691683095720183,-0.008402731751940305
M1,sofa_slope,-0.17388785818860603,-0.09874350884561829,-0.13033863160213505
M1,any_vasopressor_mean,0.10953952863939187,0.026510673489031057,-0.007872124309729193
M1,any_vasopressor_median,0.04486350463554935,0.05288658718270103,0.04215504765081322
M1,any_vasopressor_min,0.0,0.0,0.0
M1,any_vasopressor_max,0.25158814858340944,0.11858665358852033,0.07664757124317942
